ID,PO_/_SO_#,ASN/DN_#,Country,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,Sub_Classification,Item_Description,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Days_to_Process
1,SCMS,ASN,Côte d'Ivoire,Direct Drop,EXW,Air,HIV test,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",30,19,551.0,29.0,0.97,Yes,13.0,780.34,,-947
3,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Pediatric,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",240,1000,6200.0,6.2,0.03,Yes,358.0,4521.5,,-782
4,SCMS,ASN,Côte d'Ivoire,Direct Drop,FCA,Air,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",100,500,40000.0,80.0,0.8,Yes,171.0,1653.78,,-861
15,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Lamivudine 150mg, tablets, 60 Tabs",60,31920,127360.8,3.99,0.07,Yes,1855.0,16007.06,,-856
16,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,38000,121600.0,3.2,0.05,Yes,7590.0,45450.08,,-877
23,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,Pediatric,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",240,416,2225.6,5.35,0.02,Yes,504.0,5920.42,,-829
44,SCMS,ASN,Zambia,Direct Drop,others,Air,Pediatric,"Efavirenz 200mg [Stocrin/Sustiva], capsule, 90 Caps",90,135,4374.0,32.4,0.36,Yes,328.0,0.0,,-727
45,SCMS,ASN,Tanzania,Direct Drop,EXW,Air,Adult,"Nevirapine 200mg, tablets, 60 Tabs",60,16667,60834.55,3.65,0.06,Yes,1478.0,6212.41,,-772
46,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,Adult,"Stavudine 30mg, capsules, 60 Caps",60,273,532.35,1.95,0.03,No,93.0,,,-759
47,SCMS,ASN,Zambia,Direct Drop,others,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,2800,115080.0,41.1,0.34,Yes,643.0,0.0,,-705
60,SCMS,ASN,Zambia,Direct Drop,others,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,2800,115080.0,41.1,0.34,Yes,643.0,0.0,,-688
61,SCMS,ASN,Zambia,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",20,2500,100000.0,40.0,2.0,Yes,853.0,13569.49,,-727
62,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, InstantChek HIV 1+2 Kit, 100 Tests",100,10,850.0,85.0,0.85,Yes,,0.0,,-725
64,SCMS,ASN,Rwanda,Direct Drop,EXW,Air,Adult,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",60,10000,99800.0,9.98,0.17,Yes,7416.0,64179.42,,-677
65,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",100,750,60000.0,80.0,0.8,Yes,256.0,1760.32,,-717
68,SCMS,ASN,Zimbabwe,Direct Drop,others,Air,Pediatric,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",60,579,14764.5,25.5,0.42,Yes,,0.0,,-657
69,SCMS,ASN,Nigeria,Direct Drop,others,,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",100,1500,120000.0,80.0,0.8,Yes,,0.0,192.0,-608
80,SCMS,ASN,Rwanda,Direct Drop,EXW,Air,HIV test,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",30,2000,33000.0,16.5,0.55,Yes,710.0,3120.7,,-647
87,SCMS,ASN,Tanzania,Direct Drop,others,Air,Pediatric,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",200,712,8964.08,12.59,0.06,Yes,162.0,912.96,,-578
92,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",100,1000,80000.0,80.0,0.8,Yes,341.0,2682.47,128.0,-565
96,SCMS,ASN,Nigeria,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",20,7500,202500.0,27.0,1.35,Yes,2278.0,15893.71,,-565
108,SCMS,ASN,Côte d'Ivoire,Direct Drop,others,Air,Pediatric,"#102198**Didanosine 200mg [Videx], tablets, 60 Tabs",60,5513,140581.5,25.5,0.42,Yes,2126.0,0.0,224.93,-460
115,SCMS,ASN,Vietnam,Direct Drop,EXW,Air,Pediatric,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",240,1000,1920.0,1.92,0.01,Yes,941.0,4193.49,3.07,-447
116,SCMS,ASN,Vietnam,Direct Drop,FCA,Air,Adult,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",120,500,41095.0,82.19,0.68,Yes,117.0,1767.38,65.75,-496
130,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",100,750,53992.5,71.99,0.72,Yes,171.0,3518.38,86.39,-502
134,SCMS,ASN,Haiti,Direct Drop,EXW,Air,HIV test,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",100,25,8750.0,350.0,3.5,Yes,60.0,3097.85,14.0,-498
