ID,Project_Code,PQ_#,PO_/_SO_#,ASN/DN_#,Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Item_Description,Molecule/Test_Type,Brand,Dosage,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Manufacturing_Site,First_Line_Designation,Weight_(Kilograms),Freight_Cost_(USD),Line_Item_Insurance_(USD),Days_to_Process
85902,104-CI-T30,FPQ-9063,SO,DN,Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Truck,2011-12-21,N/A - From RDC,2012-10-15,2012-10-05,2012-10-05,ARV,Adult,SCMS from RDC,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,600/200/300mg,Tablet - FDC,30,10080,144950.4,14.38,0.48,Mylan (formerly Matrix) Nashik,Yes,1143.0,8158.93,203.22,289
8438,102-BW-T01,Pre-PQ Process,SCMS,ASN,Botswana,PMO - US,Direct Drop,EXW,Air,2009-01-04,4/28/08,2008-07-31,2008-07-11,2008-07-11,HRDT,HIV test - Ancillary,"Orgenics, Ltd","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs","HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",Generic,,Test kit - Ancillary,100,100,1.0,0.01,0.0,Inverness Japan,Yes,,0.0,0.0,-177
27842,114-UG-T30,FPQ-13816,SCMS,ASN,Uganda,PMO - US,Direct Drop,EXW,Air,2014-02-27,3/20/14,2014-05-13,2014-05-13,2014-05-13,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,,Test kit,20,2481,79392.0,32.0,1.6,"Trinity Biotech, Plc",Yes,780.0,5024.15,81.61,75
2441,114-UG-T01,Pre-PQ Process,SCMS,ASN,Uganda,PMO - US,Direct Drop,CIP,Air,2009-01-04,3/19/09,2009-05-04,2009-05-04,2009-05-04,ARV,Adult,BRISTOL-MYERS SQUIBB,"Didanosine EC 250mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",Didanosine EC,Videx EC,250mg,Delayed-release capsules - blister,30,60,1100.4,18.34,0.61,"BMS Meymac, France",Yes,3000.0,428.91,2.16,120
74569,116-ZA-T30,FPQ-3560,SCMS,ASN,South Africa,PMO - US,Direct Drop,DDP,Truck,2009-05-07,8/3/09,2009-10-30,2009-10-30,2009-10-30,ARV,Pediatric,S. BUYS WHOLESALER,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,1261,5063.76,4.02,0.13,"Aurobindo Unit III, India",No,,0.0,9.92,176
84646,105-GY-T30,FPQ-7464,SO,DN,Guyana,PMO - US,From RDC,N/A - From RDC,Air,2011-03-22,N/A - From RDC,2011-06-20,2011-05-16,2011-05-16,ARV,Pediatric,SCMS from RDC,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,600,1170.0,1.95,0.01,"Aurobindo Unit III, India",Yes,239.0,3106.89,1.93,55
20073,133-NG-T30,FPQ-14995,SCMS,ASN,Nigeria,PMO - US,Direct Drop,EXW,Air,2014-09-22,10/29/14,2015-01-19,2015-01-20,2015-01-22,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,,Test kit,100,3144,279816.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1276.0,15681.99,287.65,122
86555,110-ZM-T30,FPQ-11553,SO,DN,Zambia,PMO - US,From RDC,N/A - From RDC,Truck,2013-01-28,N/A - From RDC,2013-06-25,2013-04-01,2013-04-01,ARV,Adult,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,200mg,Tablet,60,38929,87979.54,2.26,0.04,Hetero Unit III Hyderabad IN,Yes,2462.0,16295.56,108.83,63
5058,116-ZA-T01,Pre-PQ Process,SCMS,ASN,South Africa,PMO - US,Direct Drop,DDP,Air,2009-01-04,3/18/09,2009-06-25,2009-06-25,2009-06-25,ARV,Pediatric,S. BUYS WHOLESALER,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,108,610.2,5.65,0.02,"Aurobindo Unit III, India",Yes,,0.0,1.2,172
5046,116-ZA-T01,Pre-PQ Process,SCMS,ASN,South Africa,PMO - US,Direct Drop,DDP,Air,2009-01-04,Date Not Captured,2009-03-31,2008-11-21,2008-11-21,ARV,Adult,S. BUYS WHOLESALER,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Viread,300mg,Tablet,30,500,8820.0,17.64,0.59,"Aspen-OSD, Port Elizabeth, SA",No,,0.0,17.29,-44
